"document","comment_id","type","start","end"
"NDY-003","275","affection declaration","41","98"
"NDY-003","275","positive feedback","99","153"
"NDY-003","279","positive feedback","45","70"
"NDY-003","280","positive feedback","0","13"
"NDY-003","283","positive feedback","0","15"
"NDY-003","283","compliment","16","42"
"NDY-003","288","affection declaration","0","8"
"NDY-003","294","positive feedback","62","91"
"NDY-003","294","positive feedback","96","113"
"NDY-003","295","compliment","61","79"
"NDY-003","295","positive feedback","86","132"
"NDY-003","295","compliment","133","220"
"NDY-003","296","affection declaration","0","25"
"NDY-003","299","positive feedback","0","4"
"NDY-003","299","positive feedback","10","40"
"NDY-003","305","affection declaration","0","34"
"NDY-003","309","compliment","14","50"
"NDY-003","311","affection declaration","0","12"
"NDY-003","316","affection declaration","0","15"
"NDY-003","321","positive feedback","114","143"
"NDY-003","323","positive feedback","66","82"
"NDY-003","325","positive feedback","0","11"
"NDY-003","325","positive feedback","54","66"
"NDY-003","325","encouragement","67","113"
"NDY-003","327","compliment","0","22"
"NDY-003","328","positive feedback","0","8"
"NDY-003","329","affection declaration","8","39"
"NDY-003","330","positive feedback","0","37"
"NDY-003","332","positive feedback","0","14"
"NDY-003","335","affection declaration","0","10"
"NDY-003","340","implicit","0","58"
"NDY-003","345","affection declaration","0","13"
"NDY-003","345","positive feedback","16","91"
"NDY-003","345","encouragement","92","101"
"NDY-003","346","implicit","0","61"
"NDY-003","347","compliment","0","19"
"NDY-003","347","positive feedback","24","36"
"NDY-003","347","encouragement","37","46"
"NDY-003","348","positive feedback","0","31"
"NDY-003","352","affection declaration","51","86"
"NDY-003","352","positive feedback","87","92"
"NDY-003","353","compliment","32","71"
"NDY-003","354","affection declaration","0","24"
"NDY-003","354","compliment","25","56"
"NDY-003","354","encouragement","159","192"
"NDY-003","354","encouragement","195","216"
"NDY-003","355","compliment","15","61"
"NDY-003","355","compliment","104","131"
"NDY-003","356","compliment","60","131"
"NDY-003","356","encouragement","132","151"
"NDY-003","357","ambiguous","0","3"
"NDY-003","358","positive feedback","0","13"
"NDY-003","358","compliment","14","42"
"NDY-003","359","compliment","0","29"
"NDY-003","360","positive feedback","0","6"
"NDY-003","362","positive feedback","0","8"
"NDY-003","362","compliment","9","27"
"NDY-003","364","compliment","142","157"
"NDY-003","364","positive feedback","160","166"
"NDY-003","372","affection declaration","0","37"
"NDY-003","373","positive feedback","0","7"
"NDY-003","374","positive feedback","20","50"
"NDY-003","375","positive feedback","0","21"
"NDY-003","375","compliment","22","31"
"NDY-003","376","affection declaration","0","34"
"NDY-003","377","compliment","0","49"
"NDY-003","378","positive feedback","0","18"
"NDY-003","380","positive feedback","0","10"
"NDY-003","382","compliment","0","41"
"NDY-003","383","positive feedback","22","66"
"NDY-003","383","positive feedback","124","142"
"NDY-003","384","positive feedback","30","49"
"NDY-003","386","positive feedback","0","19"
"NDY-003","386","compliment","20","41"
"NDY-003","387","affection declaration","0","35"
"NDY-003","388","implicit","57","122"
"NDY-003","388","compliment","186","214"
"NDY-003","388","positive feedback","379","380"
"NDY-003","389","compliment","33","79"
"NDY-003","395","positive feedback","0","27"
"NDY-003","397","positive feedback","0","32"
"NDY-003","397","compliment","33","61"
"NDY-003","397","encouragement","173","254"
"NDY-003","402","affection declaration","0","15"
"NDY-003","402","compliment","16","36"
"NDY-003","402","compliment","156","163"
"NDY-003","402","positive feedback","164","180"
"NDY-003","406","compliment","0","47"
"NDY-003","406","compliment","50","60"
"NDY-003","406","compliment","67","95"
"NDY-003","407","compliment","0","35"
"NDY-003","407","affection declaration","127","189"
"NDY-003","410","positive feedback","0","32"
"NDY-003","410","affection declaration","0","32"
"NDY-003","410","encouragement","33","57"
"NDY-003","411","positive feedback","0","13"
"NDY-003","413","positive feedback","68","95"
"NDY-003","413","affection declaration","100","136"
"NDY-003","413","encouragement","139","188"
"NDY-003","413","compliment","191","279"
"NDY-003","415","positive feedback","0","21"
"NDY-003","415","positive feedback","66","89"
"NDY-003","416","positive feedback","0","1"
"NDY-003","417","positive feedback","0","3"
"NDY-003","420","positive feedback","0","24"
"NDY-003","420","positive feedback","86","122"
"NDY-003","421","positive feedback","38","86"
"NDY-003","422","positive feedback","13","41"
"NDY-003","422","positive feedback","169","184"
"NDY-003","424","positive feedback","0","32"
"NDY-003","424","positive feedback","33","93"
"NDY-003","424","encouragement","94","106"
"NDY-003","425","positive feedback","0","9"
"NDY-003","426","positive feedback","0","22"
"NDY-003","426","encouragement","23","47"
"NDY-003","427","positive feedback","44","68"
"NDY-003","428","positive feedback","0","13"
"NDY-003","430","positive feedback","0","71"
"NDY-003","431","positive feedback","40","67"
"NDY-003","431","encouragement","68","85"
"NDY-003","431","encouragement","162","171"
"NDY-003","432","compliment","0","7"
"NDY-003","436","positive feedback","0","10"
"NDY-003","442","positive feedback","114","136"
"NDY-003","443","positive feedback","0","18"
"NDY-003","457","compliment","155","174"
"NDY-003","458","encouragement","158","209"
"NDY-003","459","positive feedback","27","45"
"NDY-003","461","positive feedback","0","42"
"NDY-003","461","encouragement","43","77"
"NDY-003","467","positive feedback","0","9"
"NDY-003","467","positive feedback","10","55"
"NDY-003","471","encouragement","0","18"
"NDY-003","471","agreement","23","54"
"NDY-003","473","compliment","0","34"
"NDY-003","473","compliment","35","57"
"NDY-003","476","positive feedback","24","42"
"NDY-003","477","compliment","0","56"
"NDY-003","477","encouragement","57","79"
"NDY-003","480","positive feedback","0","4"
"NDY-003","480","compliment","5","26"
"NDY-003","480","encouragement","27","38"
"NDY-003","481","compliment","16","33"
"NDY-003","483","positive feedback","0","16"
"NDY-003","492","implicit","95","159"
"NDY-003","492","compliment","164","204"
"NDY-003","492","implicit","205","238"
"NDY-003","493","positive feedback","0","5"
"NDY-003","493","positive feedback","6","13"
"NDY-003","494","affection declaration","0","23"
"NDY-003","495","agreement","17","26"
"NDY-003","496","affection declaration","0","22"
"NDY-003","497","positive feedback","0","23"
"NDY-003","498","compliment","0","16"
"NDY-003","499","positive feedback","0","8"
"NDY-003","499","compliment","13","38"
"NDY-003","500","compliment","0","42"
"NDY-003","501","compliment","0","77"
"NDY-003","502","ambiguous","0","18"
"NDY-003","505","compliment","0","17"
"NDY-003","507","positive feedback","26","34"
"NDY-003","508","compliment","128","154"
"NDY-003","508","affection declaration","159","185"
"NDY-003","509","positive feedback","34","57"
"NDY-003","517","ambiguous","0","7"
"NDY-003","518","affection declaration","0","21"
"NDY-003","520","affection declaration","0","12"
"NDY-003","521","compliment","0","14"
"NDY-003","524","positive feedback","53","69"
"NDY-003","529","positive feedback","137","168"
"NDY-003","530","compliment","0","19"
"NDY-003","530","compliment","20","39"
"NDY-003","530","compliment","83","102"
"NDY-003","533","affection declaration","0","22"
"NDY-003","533","positive feedback","23","42"
"NDY-003","533","encouragement","43","60"
"NDY-003","536","positive feedback","0","9"
"NDY-003","537","positive feedback","0","66"
"NDY-003","540","affection declaration","0","28"
"NDY-003","540","encouragement","195","216"
"NDY-003","541","positive feedback","0","27"
"NDY-003","544","positive feedback","0","24"
"NDY-003","545","encouragement","79","101"
"NDY-003","548","implicit","70","112"
"NDY-003","548","compliment","117","139"
"NDY-003","548","positive feedback","171","185"
"NDY-003","549","positive feedback","0","29"
"NDY-003","549","positive feedback","30","51"
"NDY-003","550","positive feedback","0","8"
"NDY-003","551","compliment","0","28"
"NDY-003","551","encouragement","88","108"
"NDY-003","552","positive feedback","0","35"
"NDY-003","557","encouragement","0","45"
"NDY-003","558","implicit","0","58"
"NDY-003","558","compliment","59","78"
"NDY-003","560","positive feedback","0","16"
"NDY-003","560","positive feedback","17","31"
"NDY-003","564","compliment","0","29"
"NDY-003","564","positive feedback","30","58"
"NDY-003","565","affection declaration","25","46"
"NDY-003","566","compliment","0","46"
"NDY-003","572","agreement","18","41"
"NDY-003","572","compliment","42","100"
"NDY-003","576","positive feedback","0","8"
"NDY-003","578","positive feedback","0","32"
"NDY-003","578","encouragement","33","119"
"NDY-003","578","positive feedback","140","158"
"NDY-003","578","positive feedback","159","189"
"NDY-003","578","encouragement","190","224"
"NDY-003","581","positive feedback","0","12"
"NDY-003","581","positive feedback","13","29"
"NDY-003","581","encouragement","30","48"
"NDY-003","586","positive feedback","0","31"
"NDY-003","586","affection declaration","32","65"
"NDY-003","590","positive feedback","0","22"
"NDY-003","592","compliment","41","65"
"NDY-003","592","compliment","66","92"
"NDY-003","592","positive feedback","93","116"
"NDY-003","593","positive feedback","0","9"
"NDY-003","594","compliment","10","50"
"NDY-003","599","compliment","38","54"
"NDY-003","602","positive feedback","6","30"
"NDY-003","602","encouragement","56","73"
"NDY-003","604","positive feedback","0","17"
"NDY-003","605","ambiguous","0","3"
"NDY-003","606","compliment","8","34"
"NDY-003","607","positive feedback","28","48"
"NDY-003","609","ambiguous","0","19"
"NDY-003","612","compliment","25","52"
"NDY-003","618","positive feedback","0","28"
"NDY-003","631","positive feedback","230","243"
"NDY-003","635","compliment","136","186"
"NDY-003","636","compliment","131","232"
"NDY-003","637","positive feedback","0","17"
"NDY-003","638","positive feedback","0","25"
"NDY-003","639","positive feedback","13","71"
"NDY-003","639","positive feedback","90","101"
"NDY-003","639","compliment","104","126"
"NDY-003","639","group membership","129","176"
"NDY-003","643","compliment","146","175"
"NDY-003","647","compliment","0","54"
"NDY-003","653","positive feedback","5","21"
"NDY-003","653","positive feedback","64","72"
"NDY-003","653","positive feedback","91","164"
"NDY-003","657","agreement","0","10"
"NDY-003","661","positive feedback","0","9"
"NDY-003","661","affection declaration","10","17"
"NDY-003","664","positive feedback","76","100"
"NDY-003","664","encouragement","103","134"
"NDY-003","665","positive feedback","0","18"
"NDY-003","666","affection declaration","0","30"
"NDY-003","666","affection declaration","43","67"
"NDY-003","668","compliment","157","175"
"NDY-003","679","positive feedback","69","90"
"NDY-003","686","compliment","0","45"
"NDY-003","686","positive feedback","46","54"
"NDY-003","693","positive feedback","0","39"
"NDY-003","694","positive feedback","0","2"
"NDY-003","694","positive feedback","3","19"
"NDY-003","695","positive feedback","0","25"
"NDY-003","697","affection declaration","0","14"
"NDY-003","697","affection declaration","15","32"
"NDY-003","698","compliment","0","28"
"NDY-003","699","positive feedback","0","4"
"NDY-003","700","positive feedback","0","15"
"NDY-003","704","affection declaration","42","72"
"NDY-003","704","affection declaration","73","103"
"NDY-003","706","positive feedback","0","13"
"NDY-003","718","positive feedback","0","15"
"NDY-003","719","positive feedback","27","142"
"NDY-003","720","positive feedback","0","16"
"NDY-003","722","compliment","49","70"
"NDY-003","725","compliment","0","18"
"NDY-003","729","affection declaration","39","56"
"NDY-003","730","positive feedback","0","18"
"NDY-003","730","encouragement","19","36"
"NDY-003","730","compliment","37","54"
"NDY-003","730","affection declaration","109","135"
"NDY-003","730","encouragement","136","160"
"NDY-003","731","ambiguous","0","7"
"NDY-003","732","encouragement","0","47"
"NDY-003","733","positive feedback","77","102"
"NDY-003","733","compliment","103","156"
"NDY-003","735","compliment","41","64"
"NDY-003","735","encouragement","65","87"
"NDY-003","735","encouragement","88","121"
"NDY-003","737","positive feedback","0","16"
"NDY-003","737","encouragement","19","31"
"NDY-003","744","positive feedback","36","67"
"NDY-003","746","positive feedback","13","16"
"NDY-003","746","affection declaration","17","49"
"NDY-003","746","compliment","59","92"
"NDY-003","753","positive feedback","0","12"
"NDY-003","753","positive feedback","17","29"
"NDY-003","753","compliment","34","54"
"NDY-003","754","positive feedback","0","11"
"NDY-003","755","positive feedback","0","21"
"NDY-003","755","positive feedback","55","80"
"NDY-003","763","positive feedback","0","16"
"NDY-003","766","positive feedback","14","37"
"NDY-003","767","positive feedback","0","20"
"NDY-003","777","positive feedback","0","24"
"NDY-003","784","positive feedback","0","29"
"NDY-003","787","positive feedback","0","32"
"NDY-003","788","compliment","0","32"
"NDY-003","788","affection declaration","33","70"
"NDY-003","791","compliment","0","29"
"NDY-003","794","positive feedback","0","22"
"NDY-003","809","positive feedback","0","22"
"NDY-003","809","affection declaration","105","125"
"NDY-003","811","positive feedback","0","18"
"NDY-003","811","encouragement","19","35"
"NDY-003","811","positive feedback","36","61"
"NDY-003","820","positive feedback","31","49"
"NDY-003","825","positive feedback","0","39"
"NDY-003","825","positive feedback","44","70"
"NDY-003","831","positive feedback","4","18"
"NDY-003","837","compliment","114","151"
"NDY-003","840","compliment","5","49"
"NDY-003","840","compliment","150","188"
"NDY-003","840","encouragement","189","203"
"NDY-003","840","positive feedback","204","253"
"NDY-003","841","compliment","133","183"
"NDY-003","841","agreement","230","265"
"NDY-003","842","affection declaration","0","35"
"NDY-003","842","compliment","105","130"
"NDY-003","845","positive feedback","44","127"
"NDY-003","847","positive feedback","0","18"
"NDY-003","847","positive feedback","28","59"
"NDY-003","848","compliment","21","59"
"NDY-003","854","affection declaration","5","42"
"NDY-003","855","affection declaration","42","73"
"NDY-003","860","compliment","99","127"
"NDY-003","860","encouragement","162","196"
"NDY-003","860","encouragement","199","256"
"NDY-003","865","positive feedback","0","2"
"NDY-003","866","compliment","0","14"
"NDY-003","866","affection declaration","15","70"
"NDY-003","867","compliment","0","17"
"NDY-003","867","affection declaration","22","59"
"NDY-003","870","positive feedback","0","12"
"NDY-003","875","affection declaration","0","43"
"NDY-003","879","affection declaration","0","57"
"NDY-003","879","compliment","58","91"
"NDY-003","880","affection declaration","40","75"
"NDY-003","881","positive feedback","35","53"
"NDY-003","883","compliment","72","89"
"NDY-003","890","ambiguous","21","29"
"NDY-003","891","ambiguous","0","3"
"NDY-003","893","affection declaration","48","81"
"NDY-003","893","compliment","82","122"
"NDY-003","894","compliment","32","68"
"NDY-003","897","encouragement","165","190"
"NDY-003","902","positive feedback","0","26"
"NDY-003","904","affection declaration","0","16"
"NDY-003","908","positive feedback","0","12"
"NDY-003","917","positive feedback","11","45"
"NDY-003","917","positive feedback","50","69"
"NDY-003","917","affection declaration","75","129"
"NDY-003","918","affection declaration","0","19"
"NDY-003","919","affection declaration","0","25"
"NDY-003","921","encouragement","36","103"
"NDY-003","926","positive feedback","0","14"
"NDY-003","933","affection declaration","0","37"
"NDY-003","934","positive feedback","0","8"
"NDY-003","934","compliment","9","51"
"NDY-003","937","positive feedback","5","33"
"NDY-003","937","compliment","34","56"
"NDY-003","937","encouragement","59","120"
"NDY-003","941","encouragement","167","182"
"NDY-003","947","positive feedback","0","22"
"NDY-003","947","affection declaration","27","50"
"NDY-003","947","encouragement","51","69"
"NDY-003","948","compliment","69","122"
"NDY-003","948","positive feedback","123","149"
"NDY-003","949","compliment","72","123"
"NDY-003","950","compliment","0","55"
"NDY-003","951","affection declaration","0","15"
"NDY-003","952","compliment","0","20"
"NDY-003","954","affection declaration","0","21"
"NDY-003","955","compliment","0","17"
"NDY-003","955","positive feedback","18","39"
"NDY-003","957","compliment","0","22"
"NDY-003","959","positive feedback","0","12"
"NDY-003","962","positive feedback","25","32"
"NDY-003","963","affection declaration","0","32"
"NDY-003","964","affection declaration","34","62"
"NDY-003","971","affection declaration","43","62"
"NDY-003","972","compliment","0","42"
"NDY-003","972","compliment","48","72"
"NDY-003","975","affection declaration","0","40"
"NDY-003","976","positive feedback","0","16"
"NDY-003","983","positive feedback","0","10"
"NDY-003","984","encouragement","6","38"
"NDY-003","990","compliment","0","39"
"NDY-003","992","positive feedback","0","28"
"NDY-003","997","affection declaration","0","44"
"NDY-003","997","compliment","45","77"
"NDY-003","998","encouragement","32","120"
"NDY-003","998","positive feedback","121","149"
"NDY-003","999","agreement","0","25"
"NDY-003","1006","positive feedback","8","10"
"NDY-003","1008","compliment","45","98"
"NDY-003","1010","compliment","0","22"
"NDY-003","1026","positive feedback","0","14"
"NDY-003","1028","compliment","0","30"
"NDY-003","1043","compliment","42","59"
"NDY-003","1043","compliment","60","175"
"NDY-003","1044","positive feedback","0","15"
"NDY-003","1045","compliment","111","143"
"NDY-003","1046","positive feedback","0","40"
"NDY-003","1046","encouragement","41","57"
"NDY-003","1050","positive feedback","0","18"
"NDY-003","1050","compliment","19","29"
"NDY-003","1053","compliment","135","159"
"NDY-003","1053","affection declaration","160","172"
"NDY-003","1057","positive feedback","47","50"
"NDY-003","1059","positive feedback","0","7"
"NDY-003","1059","affection declaration","8","23"
"NDY-003","1060","positive feedback","0","79"
"NDY-003","1060","affection declaration","80","103"
"NDY-003","1061","implicit","51","126"
"NDY-003","1061","affection declaration","291","325"
"NDY-003","1063","compliment","0","26"
"NDY-003","1063","positive feedback","27","60"
"NDY-003","1066","ambiguous","0","2"
"NDY-003","1071","affection declaration","0","17"
"NDY-003","1071","compliment","18","36"
"NDY-003","1071","affection declaration","37","61"
"NDY-003","1073","compliment","0","38"
"NDY-003","1075","compliment","47","58"
"NDY-003","1076","positive feedback","228","300"
"NDY-003","1076","compliment","301","328"
"NDY-003","1077","ambiguous","0","7"
"NDY-003","1081","affection declaration","0","38"
"NDY-003","1082","ambiguous","0","9"
"NDY-003","1083","implicit","0","154"
"NDY-003","1084","affection declaration","0","20"
"NDY-003","1087","affection declaration","0","39"
"NDY-003","1087","compliment","52","77"
"NDY-003","1090","affection declaration","0","30"
"NDY-003","1090","positive feedback","54","59"
"NDY-003","1095","compliment","40","81"
"NDY-003","1098","positive feedback","0","10"
"NDY-003","1098","affection declaration","11","36"
"NDY-003","1099","affection declaration","0","25"
"NDY-003","1102","positive feedback","0","22"
"NDY-003","1105","positive feedback","0","14"
"NDY-003","1109","compliment","0","87"
"NDY-003","1109","encouragement","427","445"
"NDY-003","1110","positive feedback","0","45"
"NDY-003","1118","compliment","46","68"
"NDY-003","1118","encouragement","122","140"
"NDY-003","1119","affection declaration","0","14"
"NDY-003","1124","agreement","0","32"
"NDY-003","1124","encouragement","33","62"
"NDY-003","1124","compliment","106","154"
"NDY-003","1124","affection declaration","155","181"
"NDY-003","1126","positive feedback","0","98"
"NDY-003","1131","positive feedback","0","24"
"NDY-003","1132","positive feedback","0","26"
"NDY-003","1134","affection declaration","110","134"
"NDY-003","1143","compliment","0","21"
"NDY-003","1145","affection declaration","0","22"
"NDY-003","1148","compliment","0","27"
"NDY-003","1149","affection declaration","163","190"
"NDY-003","1150","positive feedback","0","23"
"NDY-003","1150","positive feedback","24","42"
"NDY-003","1150","affection declaration","43","75"
"NDY-003","1151","positive feedback","0","24"
"NDY-003","1152","positive feedback","0","12"
"NDY-003","1152","encouragement","13","32"
"NDY-003","1153","positive feedback","0","11"
"NDY-003","1157","positive feedback","0","2"
"NDY-003","1157","positive feedback","3","11"
"NDY-003","1158","affection declaration","0","24"
"NDY-003","1159","agreement","0","15"
"NDY-003","1172","encouragement","0","39"
"NDY-003","1173","compliment","305","337"
"NDY-003","1173","compliment","369","383"
"NDY-003","1174","encouragement","0","35"
"NDY-003","1174","encouragement","36","73"
"NDY-003","1176","encouragement","0","57"
"NDY-003","1176","encouragement","58","75"
"NDY-003","1178","affection declaration","0","20"
"NDY-003","1178","affection declaration","21","37"
"NDY-003","1180","compliment","5","27"
"NDY-003","1182","compliment","0","20"
"NDY-003","1182","affection declaration","21","40"
"NDY-003","1183","positive feedback","90","157"
"NDY-003","1183","positive feedback","235","252"
"NDY-003","1186","compliment","0","21"
"NDY-003","1186","affection declaration","85","101"
"NDY-003","1187","affection declaration","0","33"
"NDY-003","1187","affection declaration","34","75"
"NDY-003","1188","positive feedback","28","70"
"NDY-003","1188","positive feedback","73","84"
"NDY-003","1190","affection declaration","0","51"
"NDY-003","1192","compliment","4","26"
"NDY-003","1192","positive feedback","38","62"
"NDY-003","1193","affection declaration","56","81"
"NDY-003","1193","positive feedback","82","113"
"NDY-003","1195","compliment","0","34"
"NDY-003","1197","affection declaration","0","14"
"NDY-003","1197","positive feedback","33","36"
"NDY-003","1198","compliment","77","99"
"NDY-003","1199","positive feedback","0","20"
"NDY-003","1200","compliment","94","178"
"NDY-003","1203","compliment","0","45"
"NDY-003","1204","compliment","412","498"
